feature_selection;transformer;scaler;classifier;acc;f1;auc;acc-std;f1-std;auc-std
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max2Strategy();MaxAbsScaler();LogisticRegression(max_iter=500);0.7766618542464377;0.7073980443281174;0.8328577207942214;0.03156736655849527;0.04044261608006922;0.02979105449016765
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max2Strategy();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7822735547046638;0.6836301854557433;0.8199115479428191;0.021448544274522818;0.037640278199232394;0.03685232060962539
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max2Strategy();MaxAbsScaler();LGBMClassifier();0.7935220639005711;0.7238263670408536;0.827578902777675;0.02814654680475624;0.04632195844311065;0.04823042215962403
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max2Strategy();MaxAbsScaler();DNN;0.7957441466323519;0.6740871341993696;0.8502727062132092;0.03306464053212303;0.05812210332478761;0.027635675230207508
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max50Strategy();MaxAbsScaler();RandomForestClassifier(max_depth=10);0.7991400414286611;0.7226793073464957;0.843664079547237;0.04632145513544165;0.0665084256727676;0.04764276226541458
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max50Strategy();MaxAbsScaler();LogisticRegression(max_iter=500);0.7778042809616471;0.7118251640832286;0.8190262806518763;0.025294192755544696;0.04460185917190143;0.04371932590367062
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max50Strategy();MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7901010608248069;0.6871126027776274;0.8180532356729031;0.028162894330204385;0.03617667414115335;0.048008173759218724
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max50Strategy();MaxAbsScaler();LGBMClassifier();0.8114807607808675;0.7453965273159623;0.8625275893846129;0.03714720676746586;0.055893722765347986;0.032831991989596056
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max50Strategy();MaxAbsScaler();DNN;0.7822986629841189;0.6623905528238418;0.8427009931425994;0.04014907926963447;0.06673486445035748;0.03151961816751254
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');MeanTargetEncoder(alpha=5);MaxAbsScaler();RandomForestClassifier(max_depth=10);0.8148138848785388;0.7361746188658624;0.8365882296508987;0.02837317686039426;0.04468319696359982;0.030276449811009916
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');MeanTargetEncoder(alpha=5);MaxAbsScaler();LogisticRegression(max_iter=500);0.7856568953612454;0.7122560261550139;0.8458439675647782;0.02265738126484319;0.04393714171815591;0.023494230458108074
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');MeanTargetEncoder(alpha=5);MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.8069424392693492;0.7081359644436378;0.8414511501162718;0.025449448712797397;0.0382007766958174;0.0369859179765843
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');MeanTargetEncoder(alpha=5);MaxAbsScaler();LGBMClassifier();0.7845207457158999;0.690860870124028;0.8109374518578842;0.0385686396583843;0.07729071686913315;0.040245728071504394
