feature_selection;transformer;scaler;classifier;acc;f1;auc;acc-std;f1-std;auc-std
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_SingleStrategy;MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7912372104701525;0.6791582921604075;0.8148936631259207;0.023046557135563993;0.04904440094851781;0.038555305345097456
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_SingleStrategy;MaxAbsScaler();LGBMClassifier();0.8114493754315484;0.7396127720588044;0.8416585132470502;0.021952729316737273;0.040877965988753984;0.017373333141090606
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_SingleStrategy;MaxAbsScaler();DNN;0.7699391124223214;0.6411943877270575;0.8462523636718837;0.022572366358971304;0.05702180738771389;0.025311028192372964
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max2Strategy;MaxAbsScaler();RandomForestClassifier(max_depth=5);0.7991337643587972;0.7291751538708856;0.8410298527025246;0.04355833658172447;0.055494943117798574;0.04440596513490365
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max2Strategy;MaxAbsScaler();LogisticRegression(max_iter=500);0.7890339589479631;0.7276517473842936;0.840745809027782;0.018770215387369133;0.03535354101075646;0.030056596824296337
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max2Strategy;MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7923984683949532;0.7056521136077503;0.8321184427961151;0.02630534739171709;0.04980667036491685;0.040736338022323605
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max2Strategy;MaxAbsScaler();LGBMClassifier();0.8013809553700334;0.748956047081277;0.8532371334745221;0.04115687240537956;0.05011003511487975;0.047718427486706835
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max2Strategy;MaxAbsScaler();DNN;0.776655577176574;0.6446477807460628;0.8551859404849868;0.025552622649673454;0.03586323109109856;0.02183992857985741
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max50Strategy;MaxAbsScaler();RandomForestClassifier(max_depth=5);0.7699830519113677;0.6464049773860145;0.8143320063797612;0.054058740104911594;0.10157812673800762;0.0528157397517301
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max50Strategy;MaxAbsScaler();LogisticRegression(max_iter=500);0.7845332998556275;0.7201761273496661;0.8274485209877177;0.016749361475033434;0.028318551671508593;0.046519973220431464
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max50Strategy;MaxAbsScaler();KNeighborsClassifier(n_neighbors=10);0.7923608059757705;0.6901733024375686;0.8040244033568253;0.0303103545913647;0.047121973027562235;0.05866949066301555
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max50Strategy;MaxAbsScaler();LGBMClassifier();0.8059004456719604;0.7360926727996494;0.8481678081600081;0.04241680089619179;0.06362550999736519;0.023387737869967312
FeatureSelection(categoricals=['pclass', 'sex', 'sibsp', 'parch', 'cabin', 'embarked', 'missing_age', 'cabin_type'], numericals=['age', 'fare'], target='survived');TFEmbeddingWrapper_Max50Strategy;MaxAbsScaler();DNN;0.7890151277383717;0.6723860332591679;0.8442513409741913;0.03510306878400159;0.06196805492866337;0.029883641642958807
